country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy
Croatia,30/05/1990,Wednesday,30,May,Statehood Day,01/05/1930,May-30,1990,SFR Yugoslavia,"First session of the Croatian Parliament following the 1990 Croatian parliamentary election.[45] October 8 (when the parliament adopted a decision to sever constitutional relations with Yugoslavia in 1991) and June 25 (when the parliament voted for independence in 1991) were also celebrated as independence days. After the 2019 changes to the law on public holidays, October 8 is the Parliament Day and June 25 is the Independence Day, but they are memorial days and not public holidays.[44]",1990,"May 30, 1990"
"Congo, Democratic Republic of the",30/06/1960,Thursday,30,Jun,Independence Day,01/06/1930,June-30,1960,Belgium,"Effective date of the Treaty of Friendship, Assistance and Co-operation between Belgium and the Congo concluded on June 29, 1960[42]",1960,"June 30, 1960"
Vanuatu,30/07/1980,Wednesday,30,Jul,Independence Day,01/07/1930,July-30,1980,United Kingdom and France,Unknown,1980,"July 30, 1980"
Botswana,30/09/1966,Friday,30,Sep,Independence Day,01/09/1930,September-30,1966,United Kingdom,Effective date of the Botswana Independence Act 1966[19],1966,"September 30, 1966"
Barbados,30/11/1966,Wednesday,30,Nov,Independence Day,01/11/1930,November-30,1966,United Kingdom,Effective date of the Barbados Independence Act 1966,1966,"November 30, 1966"
Yemen,30/11/1967,Thursday,30,Nov,Unknown,01/11/1930,November-30,1967,United Kingdom,Declaration of independence as South Yemen,1967,"November 30, 1967"
Nauru,31/01/1968,Wednesday,31,Jan,Unknown,01/01/1931,January-31,1968,"Australia, New Zealand and the United Kingdom",Unknown,1968,"January 31, 1968"
Malaysia,31/08/1957,Saturday,31,Aug,Hari Merdeka,01/08/1931,August-31,1957,United Kingdom,Malayan Declaration of Independence,1957,"August 31, 1957"
Trinidad and Tobago,31/08/1962,Friday,31,Aug,Independence Day,01/08/1931,August-31,1962,United Kingdom,Effective date of the Trinidad and Tobago Independence Act 1962,1962,"August 31, 1962"
Kyrgyzstan,31/08/1991,Saturday,31,Aug,Independence Day,01/08/1931,August-31,1991,Soviet Union,Unknown,1991,"August 31, 1991"
Haiti,1/1/1804,Sunday,1,Jan,Independence Day,01/01/2001,January-01,1804,France,Haitian Declaration of Independence,1804,"January 1, 1804"
Sudan,01/01/1956,Sunday,1,Jan,Independence Day,01/01/2001,January-01,1956,Egypt and the United Kingdom,Unknown,1956,"January 1, 1956"
Bosnia and Herzegovina,01/03/1992,Sunday,1,Mar,Independence Day,01/03/2001,March-01,1992,Socialist Federal Republic of Yugoslavia,1992 Bosnian independence referendum,1992,"March 1, 1992"
South Korea,01/03/1919,Saturday,1,Mar,Samiljeol,01/03/2001,March-01,1919,Empire of Japan,"Korean Declaration of Independence in 1919. This day is celebrated as Samiljeol, or Independence Proclamation Day.",1919,"March 1, 1919"
Cyprus,01/04/1955,Friday,1,Apr,National Day,01/04/2001,April-01,1955,United Kingdom,1 April attacks that started the Cyprus Emergency[49],1955,"April 1, 1955"
Iran,01/04/1979,Sunday,1,Apr,Unknown,01/04/2001,April-01,1979,Unknown,"After holding a referendum, Iran officially became an Islamic republic in April 1979.",1979,"April 1, 1979"
Samoa,01/06/1962,Friday,1,Jun,Unknown,01/06/2001,June-01,1962,New Zealand,Unknown,1962,"June 1, 1962"
Somalia,01/07/1960,Friday,1,Jul,Independence Day,01/07/2001,July-01,1960,Italy and United Kingdom,Union of the Trust Territory of Somalia (former Italian Somaliland) and British Somaliland to form the Somali Republic. Event commemorated annually.,1960,"July 1, 1960"
Burundi,01/07/1962,Sunday,1,Jul,Independence Day,01/07/2001,July-01,1962,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],1962,"July 1, 1962"
Rwanda,01/07/1962,Sunday,1,Jul,Independence Day,01/07/2001,July-01,1962,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],1962,"July 1, 1962"
Benin,01/08/1960,Monday,1,Aug,Independence Day,01/08/2001,August-01,1960,France,Effective date of the agreement with France signed on July 11 creating the independent Republic of Dahomey[18],1960,"August 1, 1960"
Switzerland,1/8/1291,Wednesday,1,Aug,Swiss National Day,01/08/2001,August-01,1291,Unknown,Alliance against the Holy Roman Empire in 1291.,1291,"August 1, 1291"
Uzbekistan,01/09/1991,Sunday,1,Sep,Independence Day,01/09/2001,September-01,1991,Soviet Union,Unknown,1991,"September 1, 1991"
Nigeria,01/10/1960,Saturday,1,Oct,Independence Day,01/10/2001,October-01,1960,United Kingdom,Unknown,1960,"October 1, 1960"
Tuvalu,01/10/1978,Sunday,1,Oct,Independence Day,01/10/2001,October-01,1978,United Kingdom,Unknown,1978,"October 1, 1978"
Antigua and Barbuda,01/11/1981,Sunday,1,Nov,Independence Day,01/11/2001,November-01,1981,United Kingdom,The effective date of the Antigua Termination of Association Order passed by the Parliament of the United Kingdom in July[8][9],1981,"November 1, 1981"
Central African Republic,01/12/1958,Monday,1,Dec,National Day,01/12/2001,December-01,1958,France,Effective date when Central African Republic became an autonomous republic of the French Community[33],1958,"December 1, 1958"
Portugal,1/12/1640,Saturday,1,Dec,Restoration of Independence Day,01/12/2001,December-01,1640,Spanish Empire,"Portugal was officially an autonomous state, but the country was in a personal union with the Spanish crown from 1580 to 1640 – date of the restoration of full Portuguese autonomy from Iberian Union with Spain.[76]",1640,"December 1, 1640"
Vietnam,02/09/1945,Sunday,2,Sep,Independence Day,01/09/2002,September-02,1945,Empire of Japan and France,Proclamation of Independence of the Democratic Republic of Vietnam,1945,"September 2, 1945"
Guinea,02/10/1958,Thursday,2,Oct,Unknown,01/10/2002,October-02,1958,France,Unknown,1958,"October 2, 1958"
United Arab Emirates,02/12/1971,Thursday,2,Dec,National Day,01/12/2002,December-02,1971,United Kingdom,Unknown,1971,"December 2, 1971"
Bulgaria,3/3/1878,Sunday,3,Mar,Liberation Day,01/03/2003,March-03,1878,Ottoman Empire,Treaty of San Stefano which created the autonomous Principality of Bulgaria[23],1878,"March 3, 1878"
Belarus,03/07/1944,Monday,3,Jul,Independence Day,01/07/2003,July-03,1944,Nazi Germany,The liberation of Minsk after several years of German occupation in 1944. Two other independence days – March 25 (proclamation of the Belarusian People's Republic in 1918) and July 27 (independence from the Soviet Union in 1990) – are commemorated unofficially.[15],1944,"July 3, 1944"
Niger,03/08/1960,Wednesday,3,Aug,Independence Day,01/08/2003,August-03,1960,France,Effective date of the agreement with France signed on July 11.[18],1960,"August 3, 1960"
Iraq,03/10/1932,Monday,3,Oct,Unknown,01/10/2003,October-03,1932,United Kingdom,Unknown,1932,"October 3, 1932"
Dominica,03/11/1978,Friday,3,Nov,Independence Day,01/11/2003,November-03,1978,United Kingdom,Unknown,1978,"November 3, 1978"
Micronesia,03/11/1986,Monday,3,Nov,Independence Day,01/11/2003,November-03,1986,United States,Effective date of the Compact of Free Association,1986,"November 3, 1986"
Myanmar,04/01/1948,Sunday,4,Jan,Independence Day,01/01/2004,January-04,1948,United Kingdom,Burmese Declaration of Independence,1948,"January 4, 1948"
Sri Lanka,04/02/1948,Wednesday,4,Feb,Independence Day,01/02/2004,February-04,1948,United Kingdom,Unknown,1948,"February 4, 1948"
Senegal,04/04/1960,Monday,4,Apr,Independence Day,01/04/2004,April-04,1960,France,Unknown,1960,"April 4, 1960"
Tonga,04/06/1970,Thursday,4,Jun,Unknown,01/06/2004,June-04,1970,United Kingdom,Termination of protectorate status in 1970,1970,"June 4, 1970"
United States,4/7/1776,Thursday,4,Jul,Independence Day or Fourth of July,01/07/2004,July-04,1776,Kingdom of Great Britain,United States Declaration of Independence,1776,"July 4, 1776"
Lesotho,04/10/1966,Tuesday,4,Oct,Unknown,01/10/2004,October-04,1966,United Kingdom,Unknown,1966,"October 4, 1966"
Venezuela,5/7/1811,Friday,5,Jul,Independence Day,01/07/2005,July-05,1811,Spanish Empire,Venezuelan Declaration of Independence,1811,"July 5, 1811"
Algeria,05/07/1962,Thursday,5,Jul,Independence Day,01/07/2005,July-05,1962,France,"Algeria gained independence following the Algerian War and the Algerian independence referendum. France officially recognized independent Algeria on July 3, but the Independence Day is celebrated on July 5, the day of the fall of Algiers in 1830 and the beginning of French Algeria.[5][6]",1962,"July 5, 1962"
Cape Verde,05/07/1975,Saturday,5,Jul,Independence Day,01/07/2005,July-05,1975,Portugal,"Effective date of the Agreement Between Portugal and Partido Africano para a Independência da Guiné e Cabo Verde (PAIGC) signed on December 18, 1974[32]",1975,"July 5, 1975"
Ghana,06/03/1957,Wednesday,6,Mar,Independence Day,01/03/2006,March-06,1957,United Kingdom,Unknown,1957,"March 6, 1957"
Sweden,6/6/1523,Wednesday,6,Jun,National Day,01/06/2006,June-06,1523,Unknown,Celebrates the election of King Gustav Vasa in 1523 and the new constitutions in 1809 and 1974. The election of King Gustav Vasa was the de facto end of the Kalmar Union and has been seen as a formal declaration of independence.,1523,"June 6, 1523"
Comoros,06/07/1975,Sunday,6,Jul,Independence Day,01/07/2006,July-06,1975,France,Unilateral declaration of independence by the Chamber of Deputies of Comoros following the 1974 Comorian independence referendum[41],1975,"July 6, 1975"
Malawi,06/07/1964,Monday,6,Jul,Unknown,01/07/2006,July-06,1964,United Kingdom,Unknown,1964,"July 6, 1964"
Bolivia,6/8/1825,Saturday,6,Aug,Independence Day,01/08/2006,August-06,1825,Spain,Bolivian Declaration of Independence,1825,"August 6, 1825"
Jamaica,06/08/1962,Monday,6,Aug,Unknown,01/08/2006,August-06,1962,United Kingdom,Independence of Jamaica,1962,"August 6, 1962"
Eswatini,06/09/1968,Friday,6,Sep,Somhlolo Day,01/09/2006,September-06,1968,United Kingdom,"Named for Ngwane IV, Somhlolo, who reigned from 1815 to 1836 and created a kingdom comparable to the Zulu, the Maroti, or the Pedi.",1968,"September 6, 1968"
Finland,06/12/1917,Thursday,6,Dec,Independence Day,01/12/2006,December-06,1917,Russian Soviet Federative Socialist Republic,Finnish Declaration of Independence,1917,"December 6, 1917"
Grenada,07/02/1974,Thursday,7,Feb,Independence Day,01/02/2007,February-07,1974,United Kingdom,Unknown,1974,"February 7, 1974"
Solomon Islands,07/07/1978,Friday,7,Jul,Independence Day,01/07/2007,July-07,1978,United Kingdom,Unknown,1978,"July 7, 1978"
Ivory Coast,07/08/1960,Sunday,7,Aug,Unknown,01/08/2007,August-07,1960,France,Effective date of the agreement with France signed on July 11.[18],1960,"August 7, 1960"
Brazil,7/9/1822,Saturday,7,Sep,Independence Day (Dia da Independência),01/09/2007,September-07,1822,"United Kingdom of Portugal, Brazil and the Algarves",Declaration of independence by Pedro I of Brazil (see Independence of Brazil)[20],1822,"September 7, 1822"
North Macedonia,08/09/1991,Sunday,8,Sep,Independence Day (Den na nezavisnosta),01/09/2008,September-08,1991,SFR Yugoslavia,Unknown,1991,"September 8, 1991"
Romania,9/5/1877,Wednesday,9,May,State Independence Day of Romania(Ziua Independenței de Stat a României),01/05/2009,May-09,1877,Ottoman Empire,"Romania's declaration of its independence and subsequent victory in the Romanian War of Independence, part of the Russo-Turkish War of 1877–1878, against the Ottoman Empire.[77]",1877,"May 9, 1877"
South Sudan,09/07/2011,Saturday,9,Jul,Independence Day,01/07/2009,July-09,2011,Sudan,Unknown,2011,"July 9, 2011"
Argentina,9/7/1816,Tuesday,9,Jul,Independence Day,01/07/2009,July-09,1816,Spanish Empire,Argentine Declaration of Independence,1816,"July 9, 1816"
Singapore,09/08/1965,Monday,9,Aug,National Day,01/08/2009,August-09,1965,Malaysia,Proclamation of Singapore,1965,"August 9, 1965"
Tajikistan,09/09/1991,Monday,9,Sep,Independence Day,01/09/2009,September-09,1991,Soviet Union,Unknown,1991,"September 9, 1991"
Uganda,09/10/1962,Tuesday,9,Oct,Independence Day,01/10/2009,October-09,1962,United Kingdom,Unknown,1962,"October 9, 1962"
Cambodia,09/11/1953,Monday,9,Nov,Independence Day,01/11/2009,November-09,1953,France,"Ceremony transferring military from French to Cambodian officials based on a military hand-over agreement reached on October 17, 1953[28][29]",1953,"November 9, 1953"
Tanzania,09/12/1961,Saturday,9,Dec,Unknown,01/12/2009,December-09,1961,United Kingdom,Independence as Tanganyika,1961,"December 9, 1961"
"Bahamas, The",10/07/1973,Tuesday,10,Jul,Independence Day,01/07/2010,July-10,1973,United Kingdom,Effective date of The Bahamas Independence Order 1973[13],1973,"July 10, 1973"
Ecuador,10/8/1809,Thursday,10,Aug,Independence Day,01/08/2010,August-10,1809,Spanish Empire,"Proclaimed independence on August 10, 1809, but failed with the execution of all the conspirators of the movement on August 2, 1810.",1809,"August 10, 1809"
Cuba,10/10/1868,Saturday,10,Oct,Commencement of the Wars of Independence[46],01/10/2010,October-10,1868,Spanish Empire,Call to rebellion (known as Grito de Yara) by sugar planter Carlos Manuel de Cespedes that led to the Ten Years' War for independence[48],1868,"October 10, 1868"
Fiji,10/10/1970,Saturday,10,Oct,Fiji Day,01/10/2010,October-10,1970,United Kingdom,Instruments of Independence,1970,"October 10, 1970"
Morocco,11/01/1944,Tuesday,11,Jan,Proclamation of Independence Day,01/01/2011,January-11,1944,France and Spain,Unknown,1944,"January 11, 1944"
